站號|站名|海拔高度(M)|經度|緯度|城市|地址|資料起始日期|撤站日期|備註|原站號|新站號
C1V380|路竹|16|120.2922|22.879067|高雄市|路竹區環球路72號新園農場|1992-05-01|2011-12-06|||
C1V400|竹子腳|51|120.3434|22.812978|高雄市|燕巢區西燕里工程路1號(阿公店水庫內)|1992-05-01|2013-10-01|因擴充為氣象站，於2013-12-1升級為(C0V400)站，站名更變為阿公店。||C0V400
C1V410|岡山|31|120.2977|22.755153|高雄市|橋頭區新莊里仕元路左邊一號白樹子農場(橋頭區白樹子段1035號)|1992-05-01|2013-10-02|||
C1V420|鳳雄|55|120.3526|22.750778|高雄市|大社區保社里民權路126號鳳山厝農場(大社區保舍甲段1037號)|1992-05-01|2013-09-30|||
C1V430|左營|13|120.2953|22.677151|高雄市|左營區曾子路281號(左營國中內)|1992-05-01|2013-09-03|因移位及擴充為氣象站，於2013-12-1升級為(C0V430)站。||C0V430
C1V440|鳳山|27|120.3561|22.646653|高雄市|鳳山區文山路園藝巷4號(鳳山熱帶園藝試驗分所)|1992-05-01|2013-09-03|因移位及擴充為氣象，於2013-12-1升級為(C0V440)站。||C0V440
C1V450|鳳森|61|120.3845|22.537976|高雄市|小港區水庫段56地號(鳳山水庫警衛室旁)|1992-05-01|2012-07-31|因移位，於2012-7-31更變為(C1V451)站。||C1V451
C1V451|鳳森|51|120.3926|22.545196|高雄市|小港區水庫段96-1地號(鳳山給水廠內)|2012-07-31|2013-09-13|因擴充為氣象站，於2013-12-1升級為(C0V450)站。|C1V450|C0V450
C1V460|楠溪|1857|120.8926|23.436444|高雄市|桃源區(楠溪林道17k處愛玉工寮，車程約1小時)|1993-03-06|2016-01-01|||
C1V530|阿蓮|34|120.3276|22.883199|高雄市|阿蓮區民生路94號(阿蓮區公所)|2012-01-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0V530)站。||C0V530
C1X010|岸內|15|120.26051|23.329819|臺南市|鹽水區岸內里96號|1993-03-01|2015-05-26|||
C1X030|白河|33|120.42902|23.325181|臺南市|白河區崁頭里65號白河農場(崁子頭839號)|1993-03-01|2015-05-19|||
C1X050|東河|19|120.38532|23.29685|臺南市|東山區東河里吉貝耍64號(東河水利工作站)|1993-03-01|2015-04-10|因擴充為氣象站及移位，於2015-7-1升級為(C0X050)站。||C0X050
C1X060|下營|19|120.25626|23.22695|臺南市|下營區仁里里下營國小附近|1993-03-01|2015-05-13|因擴充為氣象站，於2015-7-1升級為(C0X060)站。||C0X060
C1X070|北門|14|120.12491|23.268189|臺南市|北門區北門里舊悜119號(北門電信局後方觀測坪)|1993-03-01|2015-06-02|||
C1X090|七股|6|120.14605|23.141803|臺南市|七股區昭明國中後方|1993-03-01|2015-05-29|||
C1Z020|明里|211|121.26227|23.208771|花蓮縣|富里鄉明里村明里社區後方山上|1997-07-01|2010-06-30|因擴充為氣象站，於2010-7-1升級為(C0Z020)站。||C0Z020
